[tm1:1507791196622633,tm2:1507791196633807(11174),tm3:1507791196648145(25512),tm4:1507791196648177(25544)]
[tm1:1507791196688363,tm2:1507791196699599(11236),tm3:1507791196714738(26375),tm4:1507791196714771(26408)]
[tm1:1507791196755865,tm2:1507791196767107(11242),tm3:1507791196781382(25517),tm4:1507791196781418(25553)]
[tm1:1507791196821850,tm2:1507791196833047(11197),tm3:1507791196848549(26699),tm4:1507791196848583(26733)]
[tm1:1507791196890018,tm2:1507791196901256(11238),tm3:1507791196921558(31540),tm4:1507791196921591(31573)]
[tm1:1507791196962047,tm2:1507791196973359(11312),tm3:1507791196987929(25882),tm4:1507791196987963(25916)]
[tm1:1507791197029308,tm2:1507791197040631(11323),tm3:1507791197055652(26344),tm4:1507791197055684(26376)]
[tm1:1507791197095713,tm2:1507791197107160(11447),tm3:1507791197122041(26328),tm4:1507791197122077(26364)]
[tm1:1507791197161036,tm2:1507791197172242(11206),tm3:1507791197187240(26204),tm4:1507791197187273(26237)]
[tm1:1507791197226484,tm2:1507791197237920(11436),tm3:1507791197254500(28016),tm4:1507791197254536(28052)]
[tm1:1507791197295134,tm2:1507791197306238(11104),tm3:1507791197321606(26472),tm4:1507791197321639(26505)]
[tm1:1507791197360521,tm2:1507791197372370(11849),tm3:1507791197393303(32782),tm4:1507791197393351(32830)]
[tm1:1507791197434181,tm2:1507791197445937(11756),tm3:1507791197461820(27639),tm4:1507791197461853(27672)]
[tm1:1507791197501885,tm2:1507791197513730(11845),tm3:1507791197529262(27377),tm4:1507791197529299(27414)]
[tm1:1507791197569756,tm2:1507791197581757(12001),tm3:1507791197603066(33310),tm4:1507791197603100(33344)]
[tm1:1507791197643290,tm2:1507791197654956(11666),tm3:1507791197670760(27470),tm4:1507791197670796(27506)]
[tm1:1507791197710737,tm2:1507791197722630(11893),tm3:1507791197742822(32085),tm4:1507791197742855(32118)]
[tm1:1507791197783566,tm2:1507791198035789(252223),tm3:1507791198052249(268683),tm4:1507791198052286(268720)]
[tm1:1507791198091206,tm2:1507791198105274(14068),tm3:1507791198122938(31732),tm4:1507791198122973(31767)]
[tm1:1507791198163521,tm2:1507791198177706(14185),tm3:1507791198195419(31898),tm4:1507791198195460(31939)]
[tm1:1507791198235908,tm2:1507791198250234(14326),tm3:1507791198269218(33310),tm4:1507791198269258(33350)]
[tm1:1507791198308538,tm2:1507791198322689(14151),tm3:1507791198341483(32945),tm4:1507791198341525(32987)]
[tm1:1507791198382098,tm2:1507791198396267(14169),tm3:1507791198415229(33131),tm4:1507791198415269(33171)]
[tm1:1507791198455233,tm2:1507791198469570(14337),tm3:1507791198488509(33276),tm4:1507791198488550(33317)]
[tm1:1507791198528892,tm2:1507791198543292(14400),tm3:1507791198562529(33637),tm4:1507791198562569(33677)]
[tm1:1507791198601568,tm2:1507791198615758(14190),tm3:1507791198634954(33386),tm4:1507791198634996(33428)]
[tm1:1507791198674187,tm2:1507791198688959(14772),tm3:1507791198708305(34118),tm4:1507791198708344(34157)]
[tm1:1507791198747883,tm2:1507791198762179(14296),tm3:1507791198781679(33796),tm4:1507791198781725(33842)]
[tm1:1507791198821930,tm2:1507791198836618(14688),tm3:1507791198857904(35974),tm4:1507791198857945(36015)]
[tm1:1507791198897864,tm2:1507791198912634(14770),tm3:1507791198937537(39673),tm4:1507791198937580(39716)]
[tm1:1507791198976574,tm2:1507791198991224(14650),tm3:1507791199011117(34543),tm4:1507791199011159(34585)]
[tm1:1507791199050198,tm2:1507791199064684(14486),tm3:1507791199084995(34797),tm4:1507791199085038(34840)]
[tm1:1507791199124910,tm2:1507791199139587(14677),tm3:1507791199159868(34958),tm4:1507791199159909(34999)]
[tm1:1507791199198971,tm2:1507791199214181(15210),tm3:1507791199234825(35854),tm4:1507791199234868(35897)]
[tm1:1507791199271630,tm2:1507791199286701(15071),tm3:1507791199307112(35482),tm4:1507791199307152(35522)]
[tm1:1507791199345170,tm2:1507791199360718(15548),tm3:1507791199381360(36190),tm4:1507791199381406(36236)]
[tm1:1507791199419591,tm2:1507791199434728(15137),tm3:1507791199455429(35838),tm4:1507791199455474(35883)]
[tm1:1507791199494942,tm2:1507791199510895(15953),tm3:1507791199531781(36839),tm4:1507791199531825(36883)]
[tm1:1507791199569682,tm2:1507791199584932(15250),tm3:1507791199605948(36266),tm4:1507791199606008(36326)]
[tm1:1507791199644230,tm2:1507791199659760(15530),tm3:1507791199680780(36550),tm4:1507791199680845(36615)]
[tm1:1507791199718928,tm2:1507791199734705(15777),tm3:1507791199755864(36936),tm4:1507791199755937(37009)]
[tm1:1507791199795619,tm2:1507791199811393(15774),tm3:1507791199832636(37017),tm4:1507791199832701(37082)]
[tm1:1507791199870519,tm2:1507791199886133(15614),tm3:1507791199907541(37022),tm4:1507791199907585(37066)]
[tm1:1507791199945890,tm2:1507791200213147(267257),tm3:1507791200235917(290027),tm4:1507791200235962(290072)]
[tm1:1507791200274490,tm2:1507791200292835(18345),tm3:1507791200316674(42184),tm4:1507791200316718(42228)]
[tm1:1507791200355195,tm2:1507791200373663(18468),tm3:1507791200397252(42057),tm4:1507791200397300(42105)]
[tm1:1507791200435372,tm2:1507791200453833(18461),tm3:1507791200478495(43123),tm4:1507791200478543(43171)]
[tm1:1507791200516933,tm2:1507791200535499(18566),tm3:1507791200560412(43479),tm4:1507791200560462(43529)]
[tm1:1507791200600500,tm2:1507791200619277(18777),tm3:1507791200644331(43831),tm4:1507791200644379(43879)]
[tm1:1507791200682674,tm2:1507791200701831(19157),tm3:1507791200726978(44304),tm4:1507791200727028(44354)]
[tm1:1507791200766759,tm2:1507791200786300(19541),tm3:1507791200811761(45002),tm4:1507791200811810(45051)]
[tm1:1507791200850200,tm2:1507791200869511(19311),tm3:1507791200895058(44858),tm4:1507791200895108(44908)]
